date,category,region,product,quantity,price,sales
2025-01-01,Electronics,Karachi,Laptop_Pro,5,85000,425000
2025-01-02,Clothing,Lahore,T_Shirt,20,1500,30000
2025-01-03,Beauty,Islamabad,Lipstick,15,2000,30000
2025-01-04,Electronics,Peshawar,Phone_X,8,65000,520000
2025-01-05,Home,Karachi,Sofa_Set,2,45000,90000
2025-01-06,Clothing,Lahore,Jeans,12,3500,42000
2025-01-07,Beauty,Islamabad,Perfume,10,4500,45000
2025-01-08,Electronics,Karachi,Tablet,6,35000,210000
2025-01-09,Home,Quetta,Lamp,15,2500,37500
2025-01-10,Clothing,Peshawar,Jacket,8,5500,44000
2025-01-15,Electronics,Lahore,Smartwatch,12,15000,180000
2025-01-20,Beauty,Karachi,Cream,25,1800,45000
2025-01-25,Home,Islamabad,Curtains,10,3500,35000
2025-02-01,Electronics,Karachi,Laptop_Pro,7,85000,595000
2025-02-05,Clothing,Lahore,Shirt,18,2200,39600
2025-02-10,Beauty,Peshawar,Shampoo,30,800,24000
2025-02-15,Home,Karachi,Bed,3,55000,165000
2025-02-20,Electronics,Islamabad,Headphones,15,8500,127500
2025-02-25,Clothing,Quetta,Sweater,10,3000,30000
2025-03-01,Beauty,Karachi,Foundation,22,2500,55000
2025-03-05,Electronics,Lahore,Camera,4,75000,300000
2025-03-10,Home,Peshawar,Carpet,5,12000,60000
2025-03-15,Clothing,Islamabad,Dress,15,4500,67500
2025-03-20,Beauty,Karachi,Mascara,18,1500,27000
2025-03-25,Electronics,Quetta,Speaker,8,9500,76000
2025-04-01,Home,Lahore,Table,6,18000,108000
2025-04-05,Clothing,Peshawar,Shoes,20,4000,80000
2025-04-10,Beauty,Islamabad,Toner,25,1200,30000
2025-04-15,Electronics,Karachi,Monitor,5,32000,160000
2025-04-20,Home,Lahore,Chair,10,8500,85000
2025-04-25,Clothing,Karachi,Suit,3,15000,45000
2025-05-01,Beauty,Peshawar,Soap,40,300,12000
2025-05-05,Electronics,Islamabad,Keyboard,15,5500,82500
2025-05-10,Home,Quetta,Mirror,8,4500,36000
2025-05-15,Clothing,Karachi,Hat,25,1200,30000
2025-05-20,Beauty,Lahore,Brush,30,800,24000
2025-05-25,Electronics,Peshawar,Mouse,20,2500,50000
2025-06-01,Home,Karachi,Pillow,35,1500,52500
2025-06-05,Clothing,Islamabad,Belt,18,2200,39600
2025-06-10,Beauty,Quetta,Lotion,22,1800,39600
2025-06-15,Electronics,Lahore,Charger,30,1500,45000
2025-06-20,Home,Peshawar,Blanket,12,4500,54000
2025-06-25,Clothing,Karachi,Socks,50,500,25000